title,originalTitle,description,genre
Troja,Troy,"Ekranizacja epopei Homera opowiadająca o walce Greków pod murami Troi, aby odbić porwaną królową Sparty.",Dramat historyczny
Powrót do przyszłości,Back to the Future,W 1985 roku dr Emmett Brown buduje wehikuł czasu. Jego przyjaciel Marty McFly przenosi się w lata 50. i niechcący przeszkadza w poznaniu się swoim rodzicom.,Komedia / Przygodowy / Sci-Fi
Memento,,"Leonard, szukający mordercy swojej żony, w wyniku wypadku traci pamięć krótkotrwałą. Nieustannie robi więc notatki i zdjęcia, a ważniejsze fakty tatuuje sobie na ciele.",Kryminał / Thriller
Czas Apokalipsy,Apocalypse Now,"Adaptacja opowiadania Josepha Conrada ""Jądro ciemności"". Przeniesiona w realia wojny wietnamskiej historia kapitana Willarda, który otrzymuje misję odnalezienia i zlikwidowania pułkownika Kurtza.",Dramat / Wojenny
Marsjanin,The Martian,Po nieudanej ekspedycji Mark zostaje sam na Marsie. Mimo znikomych zapasów oraz zerwanej łączności z dowództwem mężczyzna stara się przetrwać w trudnych warunkach.,Sci-Fi
Nienawistna ósemka,The Hateful Eight,"Dwaj łowcy głów, próbując znaleźć schronienie przed zamiecią śnieżną, trafiają do Wyoming, gdzie wplątani zostają w splot krwawych wydarzeń.",Western
Wielki Gatsby,The Great Gatsby,"Nowy Jork, rok 1922. Milioner Jay Gatsby spotyka po pięciu latach swoją wielką miłość, Daisy, z którą wcześniej rozdzieliły go koleje losu. ",Melodramat
Snajper,American Sniper,"Historia kariery wojskowej i życia osobistego Chrisa Kyle'a, który zyskał sławę najlepszego snajpera w historii elitarnej jednostki Navy SEALs. ",Biograficzny / Dramat / Wojenny
Labirynt fauna,El laberinto del fauno,"Hiszpania, 1944 rok. Jedenastoletnia Ofelia przenosi się z matką do domu okrutnego ojczyma. Pewnego dnia odkrywa tajemniczy labirynt, w którym spotyka fauna.",Dramat / Fantasy
Joker,,Strudzony życiem komik popada w obłęd i staje się psychopatycznym mordercą.,Dramat / Kryminał
Babel,,"Trzy historie, rozgrywające się w różnych krajach, połączone motywem problemów z komunikacją.",Dramat
Sherlock Holmes: Gra cieni,Sherlock Holmes: A Game of Shadows,Druga odsłona przygód genialnego detektywa Sherlocka Holmesa i jego przyjaciela dra Johna Watsona. Tym razem bohaterowie są na tropie profesora Jamesa Moriarty'ego.,Kryminał / Przygodowy
Lektor,The Reader,"Berlin, 1958 rok. 15-letni Michael zakochuje się w dużo starszej od siebie Hannie. Po latach oboje będą musieli zmierzyć się z jej przeszłością.",Melodramat
Czerwony smok,Red Dragon,"Kiedy w sprawie psychopatycznego zabójcy policja okazuje się bezradna, agent FBI prosi o pomoc pacjenta więziennego centrum psychiatrycznego, skazanego na dożywocie za wielokrotne morderstwa i kanibalizm. ",Thriller
Sweeney Todd: Demoniczny golibroda z Fleet Street,Sweeney Todd: The Demon Barber of Fleet Street,"Golibroda wraca do wiktoriańskiego Londynu, by zemścić się na porywaczu żony i córki. We współpracy z sąsiadką otwiera zakład fryzjerski, dzięki któremu restauracja wspólniczki zaopatrywana jest w nadzienie do pasztecików. ",Musical / Thriller
Sala samobójców,,"Mający problemy emocjonalne chłopak, wrażliwy Dominik, nawiązuje w internecie kontakt z tajemniczą dziewczyną, która wprowadza go do ""sali samobójców"". ",Thriller / Romans
Piraci z Karaibów: Na nieznanych wodach,Pirates of the Caribbean: On Stranger Tides,"Legendarny pirat Czarnobrody planuje zdobyć żywą syrenę i dwa kielichy, by się odmłodzić. Sprytny kapitan Jack Sparrow chce mu pokrzyżować plany.",Fantasy / Przygodowy
Atlas chmur,Cloud Atlas,"Rozgrywająca się w różnych epokach czasowych i zakątkach świata opowieść o losach ludzi, których czyny mają wpływ na przeszłość, teraźniejszość oraz przyszłość. ",Dramat / Sci-Fi
Gwiezdne wojny: Część IV - Nowa nadzieja,Star Wars,"Obi-Wan opowiada młodemu Luke'owi, że jego ojcem był potężny rycerz Jedi, który walczył w wojnach klonów.",Przygodowy / Sci-Fi
Park Jurajski,Jurassic Park,"W parku ze sklonowanymi dinozaurami, tuż przed oficjalnym otwarciem, dochodzi do awarii zasilania, a przebywający w nim ludzie muszą ratować życie.",Przygodowy / Sci-Fi
Wściekłe psy,Reservoir Dogs,"Po nieudanym napadzie na sklep jubilerski kilku złodziei zdaje sobie sprawę, że jest wśród nich zdrajca, który powiedział policji o ich planie. ",Thriller / Gangsterski
Miasto Boga,Cidade de Deus,"Oparta na faktach historia dwóch chłopców ze slumsów Rio de Janeiro. Jeden z nich dołączył do gangu, drugi wybrał sztukę i został fotografem.",Dramat / Thriller
Harry Potter i Insygnia Śmierci: Część I,Harry Potter and the Deathly Hallows: Part 1,"Harry, Ron i Hermiona wyruszają odnaleźć horkruksy, dzięki którym Voldemort zapewnił sobie nieśmiertelność. Muszą je wszystkie zniszczyć, by go pokonać.&nbsp;",Familijny / Fantasy / Przygodowy
American Gangster,,Czarnoskóry gangster Frank Lucas buduje w Nowym Jorku ogromne narkotykowe imperium. Na jego trop wpada nieprzekupny detektyw Richie Roberts. ,Biograficzny / Dramat / Kryminał
Zmierzch,Twilight,Adaptacja książki Stephenie Meyer. Nieśmiała i zagubiona nastolatka zakochuje się w wampirze.,Horror / Romans
Igrzyska śmierci: W pierścieniu ognia,The Hunger Games: Catching Fire,"Po powrocie z obowiązkowego Tournée Zwycięzców Katniss Everdeen i Peeta Mellark wracają na arenę Głodowych Igrzysk, gdzie stawiają czoła mistrzom poprzednich edycji.",Akcja / Sci-Fi
Spider-Man,,"Nastoletni Peter Parker zmienia się w Spidermana, gdy mieszkańcom zagraża szalony Zielony Goblin.",Akcja / Sci-Fi
WALL·E,,"Daleka przyszłość. Ziemię opuszczoną przez ludzi próbuje uprzątnąć uroczy robot WALL.E. Pewnego dnia na planetę przybywa EVE – przepiękna, nowoczesna maszyna, która szuka oznak życia.",Animacja / Familijny / Sci-Fi
Drive,,Bezimienny kierowca postanawia pomóc mężowi swojej sąsiadki w anulowaniu długu u groźnych bandytów.,Akcja
Jeździec bez głowy,Sleepy Hollow,"Nowojorski policjant przybywa do małej osady, by rozwiązać sprawę tajemniczych morderstw dokonywanych rzekomo przez jeźdźca bez głowy.",Horror
Rzeka tajemnic,Mystic River,"Adaptacja powieści Dennisa Lehane'a. Życie trzech przyjaciół zmienia się, gdy jeden z nich wsiada do niewłaściwego samochodu. Po 25 latach ich drogi znowu się krzyżują.",Thriller
To właśnie miłość,Love Actually,"Dziesięć historii o miłości, a każda w innym wydaniu.",Komedia rom. / Świąteczny
Kac Vegas w Bangkoku,The Hangover Part II,"Kontynuacja ""Kac Vegas"". Czterech przyjaciół udaje się w podróż do egzotycznej Tajlandii na ślub jednego z nich. Spokojny wieczór kawalerski wymyka się spod kontroli.",Komedia
"Obcy - 8. pasażer ""Nostromo""",Alien,"Załoga statku kosmicznego Nostromo odbiera tajemniczy sygnał i ląduje na niewielkiej planetoidzie, gdzie jeden z jej członków zostaje zaatakowany przez obcą formę życia.",Horror / Sci-Fi
Jak wytresować smoka,How to Train Your Dragon,"Chuderlawy Wiking przewróci porządek w wiosce, kiedy zamiast zabić w ramach inicjacji jakiegoś smoka, zaprzyjaźni się z najgroźniejszym z nich.",Animacja / Familijny / Fantasy / Przygodowy
Gra tajemnic,The Imitation Game,"Angielski matematyk i logik, Alan Turing, pomaga złamać kod Enigmy podczas II wojny światowej.",Biograficzny / Dramat
Green Book,,Drobny cwaniaczek z Bronksu zostaje szoferem ekstrawaganckiego muzyka z wyższych sfer i razem wyruszają na wielotygodniowe tournée.,Dramat / Komedia
Mgła,The Mist,Adaptacja opowiadania Stephena Kinga. W gęstej i nieprzeniknionej mgle na ludzi zaczynają polować tajemnicze istoty.,Horror
Witaj w klubie,Dallas Buyers Club,"Rok 1985, Dallas. Elektryk oraz kanciarz, Ron Woodroof, pracuje nad systemem pomocy w zdobywaniu leków osobom chorym na AIDS.&nbsp;",Biograficzny / Dramat
Birdman,,"Zapomniany aktor, który niegdyś grał postać kultowego superbohatera, walczy ze swoim ego, próbując odzyskać sławę i rodzinę. ",Dramat / Komedia
Skyfall,,Lojalność agenta 007 wobec M zostaje wystawiona na próbę po ataku na siedzibę MI6 i kradzieży tajnych danych. Trop wiedzie do osoby z przeszłości szefowej brytyjskiego wywiadu. ,Sensacyjny
Zodiak,Zodiac,San Francisco terroryzuje seryjny morderca Zodiak. Grupa reporterów postanawia odkryć tożsamość złoczyńcy.,Dramat / Kryminał / Thriller
Misery,,"Ekranizacja powieści Stephena Kinga. Kiedy autor popularnej serii książek ulega wypadkowi, pomocy udziela mu była pielęgniarka, która okazuje się być jego fanką.",Thriller
Ostatni samuraj,The Last Samurai,"Kapitan Nathan Algren w niewoli u samurajów poznaje ich zwyczaje i znajduje spokój, którego od dawna szukał po wojnach z Indianami.",Dramat historyczny
"Trzy billboardy za Ebbing, Missouri","Three Billboards Outside Ebbing, Missouri","Samotna matka, która straciła córkę w wyniku morderstwa, wynajmuje trzy tablice reklamowe i umieszcza na nich prowokacyjny przekaz.",Dramat
Legion samobójców,Suicide Squad,Amanda Waller na polecenie rządu USA tworzy drużynę składającą się z przestępców.,Akcja / Sci-Fi
Harry Potter i Zakon Feniksa,Harry Potter and the Order of the Phoenix,"Harry i jego przyjaciele zakładają tajne stowarzyszenie ""Gwardię Dumbledore'a"", aby przygotować się do starcia z Voldemortem.",Familijny / Fantasy / Przygodowy
Transformers,,Wojna pomiędzy dwoma rasami robotów – Autobotami i Decepticonami przenosi się na Ziemię. W samym środku walki znajdzie się nastolatek Sam Witwicky.,Akcja / Sci-Fi
Harry Potter i Książę Półkrwi,Harry Potter and the Half-Blood Prince,"Harry, by ostatecznie pokonać Voldemorta, musi poznać jego przeszłość. ",Familijny / Fantasy / Przygodowy
Rain Man,,"Karierowicz Charlie dostaje informację o śmierci ojca, z którym od lat nie miał kontaktu. Z testamentu dowiaduje się, że ma starszego brata chorego na autyzm.",Dramat / Komedia
Miasto gniewu,Crash,W ciągu 36 godzin losy nieznanych sobie mieszkańców Los Angeles niespodziewanie się krzyżują.,Dramat
Gwiazd naszych wina,The Fault in Our Stars,"Cierpiąca na raka tarczycy Hazel za namową rodziców idzie na spotkanie grupy wsparcia. Poznaje tam nastoletniego Gusa, byłego koszykarza z amputowaną nogą.",Dramat / Romans
Gwiezdne wojny: Część V - Imperium kontratakuje,Star Wars: Episode V - The Empire Strikes Back,"Imperator rozkazuje swojemu uczniowi Darthowi Vaderowi odnalezienie Luke'a Skywalkera, by zmusić go do przejścia na ciemną stronę Mocy.",Przygodowy / Sci-Fi
Łowca androidów,Blade Runner,Rok 2019. Rick Deckard jako członek specjalnego oddziału policji tropi i eliminuje replikantów - istoty stworzone za pomocą biotechnologii do wykonywania niebezpiecznych zadań.,Thriller / Sci-Fi
La La Land,,Los Angeles. Pianista jazzowy zakochuje się w początkującej aktorce. ,Musical / Romans
Prawo zemsty,Law Abiding Citizen,"Kiedy żona i córka Clyde'a Sheltona zostają brutalnie zamordowane, a ich zabójca unika kary, bohater przygotowuje plan zemsty nie tylko na oprawcach, ale i wymiarze sprawiedliwości.",Thriller
Wróg u bram,Enemy at the Gates,Druga wojna światowa. W oblężonym Stalingradzie dochodzi do pojedynku dwóch snajperów.,Dramat / Wojenny
Mr. Nobody,,"Stoosiemnastoletni Nemo Nobody to ostatni śmiertelny człowiek w czasach, gdy ludzkość osiągnęła nieśmiertelność. Na łożu śmierci bohater rozważa, jak mogło potoczyć się jego życie.",Dramat / Sci-Fi
Constantine,,"Adaptacja komiksu ""Hellblazer"" opowiadająca historię Johna Constantine'a - egzorcysty, który musi stanąć do walki o dusze wszystkich ludzi, by tym samym ocalić siebie od wiecznego potępienia. ",Fantasy / Thriller
Raport mniejszości,Minority Report,"W 2054 roku można przewidzieć przyszłość, a winnych ukarać, zanim popełnią zbrodnię. Komisarz John Anderton zostaje oskarżony o morderstwo, do którego jeszcze nie doszło.",Thriller / Sci-Fi
Casino Royale,,"Po otrzymaniu statusu agenta 00 James Bond dostaje pierwsze ważne zadanie, w którym pomóc ma mu piękna Vesper Lynd. Jego przeciwnikiem jest bankier terrorystów Le Chiffre.",Sensacyjny
Lejdis,,"Cztery bohaterki prowadzą bogate w niespodzianki życie. Ich przyjaźń sprawia, że łatwiej przebrnąć im przez pułapki zastawiane przez los.",Komedia
Oszukana,Changeling,"Los Angeles, 1928 rok. Christine wychodzi do pracy, zostawiając kilkuletniego syna w domu. Gdy wraca, dziecka nie ma.",Dramat obyczajowy
Czekolada,Chocolat,"Matka i córka przyjeżdżają do małego miasteczka, gdzie otwierają sklep, w ofercie którego znaleźć można czekoladę pod każdą niemal postacią. Przedsięwzięcie spotyka się z dezaprobatą burmistrza.",Dramat / Komedia / Romans
Maska,The Mask,"Stanley Ipkiss, nudny urzędnik bankowy, znajduje w rzece maskę. Gdy ją zakłada, staje się niezniszczalny, uwodzicielski i pewny siebie. ",Fantasy / Komedia
Harry Potter i Komnata Tajemnic,Harry Potter and the Chamber of Secrets,Uczniom i nauczycielom słynnej szkoły magii grozi niebezpieczeństwo. Tylko młody czarodziej Harry może przywrócić dawny porządek. ,Familijny / Fantasy / Przygodowy
Las Vegas Parano,Fear and Loathing in Las Vegas,"Jest rok 1971, Raoul Duke oraz dr Gonzo wyruszają do Las Vegas. Po drodze nie stronią od alkoholu i narkotyków, przeżywając amerykański sen na jawie.",Dramat / Surrealistyczny / Komedia
Wojna światów,War of the Worlds,Ray z dwójką dzieci stara się przeżyć w czasie inwazji kosmitów na Ziemię.,Dramat / Sci-Fi
The Social Network,,"Historia powstania Facebooka. Komputerowy geniusz z Harvardu zakłada stronę thefacebook.com, która nieoczekiwanie bije rekordy popularności.",Biograficzny / Obyczajowy
Gwiezdne wojny: Część VI - Powrót Jedi,Star Wars: Episode VI - Return of the Jedi,Luke Skywalker skończył trening na rycerza jedi. Teraz jako wyszkolony wojownik musi walczyć z mrocznym lordem Vaderem.,Przygodowy / Sci-Fi
American Psycho,,"Adaptacja powieści Breta Eastona Ellisa. Patrick Bateman to typowy amerykański yuppie, który zaczyna mordować ludzi, chcąc oderwać się od rutyny.",Czarna komedia
Ace Ventura: Psi detektyw,Ace Ventura: Pet Detective,Detektyw specjalizujący się w odnajdywaniu zaginionych zwierząt poszukuje ukradzionego delfina – maskotki drużyny futbolowej.,Komedia
Spotlight,,Dziennikarze bostońskiej gazety trafiają na trop wielkiego pedofilskiego skandalu w Kościele rzymskokatolickim.,Dramat
Szybcy i wściekli,The Fast and the Furious,"Policjant przenika do grupy organizującej nielegalne wyścigi samochodowe. Sytuacja komplikuje się, gdy poznaje bliżej siostrę lidera przestępców.",Akcja
Wrogowie publiczni,Public Enemies,"Historia najsłynniejszych amerykańskich gangsterów lat 30. – Johna Dillingera, Baby'ego Face'a Nelsona i Pretty Boya Floyda.",Dramat / Gangsterski
12 małp,Twelve Monkeys,"Więzień zostaje wysłany w przeszłość, aby zapobiec wybuchowi epidemii, która prawie zniszczyła ludzkość. ",Dramat / Sci-Fi
Podaj dalej,Pay It Forward,"Chłopiec, który w ramach zadania domowego musiał pomóc trzem osobom, uruchamia łańcuszek szczęścia. Niespodziewanie plan wymyka się spod kontroli.",Dramat
Gnijąca panna młoda,Corpse Bride,"Victor przypadkiem oświadcza się nieżyjącej dziewczynie. Nieboszczka zabiera młodzieńca ze sobą do świata zmarłych, by go poślubić. ",Animacja / Czarna komedia
Kasyno,Casino,"Las Vegas, rok 1973. Hazardzista i bukmacher, Sam ""Ace"" Rothstein, na polecenie mafii zostaje szefem jednego z największych kasyn w mieście. ",Dramat / Gangsterski
Zwierzogród,Zootopia,"Nick Bajer – żyjący z drobnych przekrętów szczwany lis, i Judy Hops – pierwszy w historii królik zatrudniony w policji, łączą siły, by rozwiązać pewną kryminalną zagadkę.",Animacja / Komedia / Przygodowy
Dirty Dancing,,Szesnastoletnia Frances poznaje na wakacjach w ekskluzywnym ośrodku wypoczynkowym przystojnego instruktora tańca. Mimo wielu różnic łączy ich wspólna pasja.,Melodramat / Muzyczny
Hobbit: Bitwa Pięciu Armii,The Hobbit: The Battle of the Five Armies,"Podczas gdy Smok Smaug niszczy miasto Esgaroth, armie Śródziemia szykują się do wojny.",Fantasy / Przygodowy
"Ja, robot","I, Robot","W roku 2035 roboty pomagają ludziom w codziennym życiu. Gdy ginie twórca zaawansowanego modelu, detektyw podejrzewa, że zabiła go maszyna.",Thriller / Sci-Fi
Dziennik Bridget Jones,Bridget Jones's Diary,"Ekranizacji powieści Helen Fielding. 32-letnia Bridget Jones zaczyna prowadzić intymny dziennik, który pomaga jej odmienić swoje życie.",Komedia rom.
Czas na miłość,About Time,"Kończąc 21 lat Tim Lake odkrywa, że może podróżować w czasie. Postanawia więc uczynić świat lepszym, znajdując sobie dziewczynę. ",Dramat / Fantasy / Komedia / Romans
